REPO_EXAMPLE_ID  ,NAME  ,OWNER  ,URL  ,DATABASE_CONNECTION  ,DOCKERFILE  ,LOGS_SERVICE  ,MESSAGING  ,MICROSERVICE_MENTION  ,RESTFUL  ,SOAP  ,ALL_CONTENTS_NUMBER  ,FILES  ,SIZE  ,DATABASE_SERVICES  ,PROGRAMMING_LANGUAGES  ,LOG_SERVICES  ,MESSAGING_SERVICES  ,DOCKERFILES  ,MICROSERVICE  ,MICROSERVICE_SET  
34,predictionio,apache,https://github.com/apache/predictionio,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1465,1017,36295,4,3,0,0,23,TRUE,TRUE
35,griffin,apache,https://github.com/apache/griffin,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,832,648,28319,1,5,0,1,5,TRUE,FALSE
36,metron,apache,https://github.com/apache/metron,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,4890,3185,97572,2,7,1,0,115,TRUE,TRUE
37,trafficcontrol,apache,https://github.com/apache/trafficcontrol,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,7974,6347,122416,7,7,0,0,196,TRUE,TRUE
38,bigtable-autoscaler,spotify,https://github.com/spotify/bigtable-autoscaler,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,122,92,1913,2,1,0,0,6,TRUE,FALSE
39,dockerized-magento,andreaskoch,https://github.com/andreaskoch/dockerized-magento,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,63,41,2661,1,0,0,0,4,TRUE,FALSE
40,dockerize-magento2,arvatoSCM,https://github.com/arvatoSCM/dockerize-magento2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,26,17,26,2,0,0,0,5,TRUE,FALSE
41,docker-gitlab,sameersbn,https://github.com/sameersbn/docker-gitlab,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,87,67,6702,2,1,0,0,24,TRUE,FALSE
42,InfraBox,SAP,https://github.com/SAP/InfraBox,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1001,757,19227,1,3,0,0,109,TRUE,FALSE
43,zammad-docker-compose,zammad,https://github.com/zammad/zammad-docker-compose,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,29,22,333,3,0,0,0,10,TRUE,FALSE
45,reportportal,reportportal,https://github.com/reportportal/reportportal,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,32,27,196588,3,0,0,0,6,TRUE,FALSE
46,archived-portal,onap,https://github.com/onap/archived-portal,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2809,2164,21601,2,3,0,0,26,TRUE,TRUE
47,portal-base,datosgobar,https://github.com/datosgobar/portal-base,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,116,90,351,2,2,0,0,8,TRUE,TRUE
48,cbioportal,cBioPortal,https://github.com/cBioPortal/cbioportal,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3084,2715,438578,0,5,0,0,41,TRUE,FALSE
49,docker-compose,WeblateOrg,https://github.com/WeblateOrg/docker-compose,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,45,42,330,2,0,0,0,16,TRUE,FALSE
50,Docker-CommunityServer,ONLYOFFICE,https://github.com/ONLYOFFICE/Docker-CommunityServer,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,24,17,454,1,0,0,0,8,TRUE,FALSE
51,server,owncloud-docker,https://github.com/owncloud-docker/server,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,17,13,677,1,0,0,0,8,TRUE,FALSE
52,zally,zalando,https://github.com/zalando/zally,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,629,464,12049,1,3,0,0,6,TRUE,FALSE
53,listenbrainz-server,metabrainz,https://github.com/metabrainz/listenbrainz-server,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1601,1373,26486,8,3,0,0,46,TRUE,TRUE
54,tidb-docker-compose,pingcap,https://github.com/pingcap/tidb-docker-compose,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,88,64,301,22,1,0,0,11,TRUE,FALSE
55,terminus,ansjin,https://github.com/ansjin/terminus,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1357,1135,9333,9,3,4,0,30,TRUE,TRUE
56,stratos,cloudfoundry,https://github.com/cloudfoundry/stratos,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,4838,3955,103536,0,3,0,0,120,TRUE,FALSE
